Date,Time,Object,Confidence,X1,Y1,X2,Y2
2026-07-07,06:15:52,remote,0.68,278,22,554,438
2026-07-07,06:15:52,remote,0.68,286,20,550,442
2026-07-07,06:15:53,remote,0.67,284,21,571,461
2026-07-07,06:15:53,remote,0.84,299,50,575,466
2026-07-07,06:15:53,remote,0.68,290,33,575,467
2026-07-07,06:15:55,remote,0.76,328,21,639,474
2026-07-07,06:15:55,remote,0.82,336,29,638,475
2026-07-07,06:15:57,remote,0.76,311,1,639,473
2026-07-07,06:15:57,person,0.79,321,2,638,472
2026-07-07,06:15:58,person,0.67,336,37,639,471
2026-07-07,06:16:05,remote,0.78,262,2,458,465
2026-07-07,06:16:06,bottle,0.7,260,2,493,471
2026-07-07,06:16:06,bottle,0.8,257,3,454,472
2026-07-07,06:16:07,bottle,0.76,259,3,492,471
2026-07-07,06:16:09,person,0.7,259,26,638,471
2026-07-07,06:16:13,person,0.74,258,29,638,473
2026-07-07,06:16:14,person,0.81,255,27,638,473
2026-07-07,06:16:14,person,0.79,254,28,638,473
2026-07-07,06:16:14,person,0.71,253,28,638,471
2026-07-07,06:16:14,person,0.83,255,29,638,472
2026-07-07,06:16:14,person,0.7,255,28,638,472
2026-07-07,06:16:15,person,0.75,258,28,638,473
2026-07-07,06:16:15,person,0.74,262,29,638,473
2026-07-07,06:16:18,person,0.69,362,48,639,473
2026-07-07,06:16:18,person,0.88,360,47,638,473
2026-07-07,06:16:18,person,0.84,359,46,638,473
2026-07-07,06:16:18,person,0.85,354,42,638,473
2026-07-07,06:16:19,person,0.92,360,45,638,473
2026-07-07,06:16:19,person,0.9,366,47,638,472
2026-07-07,06:16:19,person,0.9,368,48,638,472
2026-07-07,06:16:19,person,0.89,373,49,639,473
2026-07-07,06:16:19,person,0.91,373,48,638,471
2026-07-07,06:16:20,person,0.93,378,48,639,472
2026-07-07,06:16:20,person,0.75,371,51,639,472
2026-07-07,06:16:20,cat,0.7,443,264,639,474
2026-07-07,06:16:22,person,0.65,317,269,638,473
2026-07-07,06:16:23,person,0.69,304,256,638,472
2026-07-07,06:16:23,person,0.66,299,256,638,472
2026-07-07,06:16:25,person,0.68,304,254,638,472
2026-07-07,06:16:29,book,0.78,76,24,508,446
2026-07-07,06:16:29,book,0.67,81,33,512,455
2026-07-07,06:16:30,book,0.7,81,34,511,454
2026-07-07,06:16:38,person,0.69,254,262,639,475
2026-07-07,06:16:38,book,0.66,115,17,544,472
2026-07-07,06:16:39,book,0.78,106,20,546,453
2026-07-07,06:16:39,book,0.76,104,23,543,443
2026-07-07,06:16:39,book,0.8,104,23,542,444
2026-07-07,06:16:39,book,0.81,100,24,546,444
2026-07-07,06:16:40,book,0.69,103,25,539,449
2026-07-07,06:16:40,book,0.69,104,24,539,450
2026-07-07,06:16:41,book,0.73,97,27,543,450
2026-07-07,06:16:41,book,0.68,103,30,542,456
2026-07-07,06:16:41,book,0.69,106,28,541,458
2026-07-07,06:16:42,book,0.7,107,27,537,452
2026-07-07,06:16:42,book,0.72,106,27,540,453
2026-07-07,06:16:43,person,0.69,463,55,639,471
2026-07-07,06:16:44,person,0.89,450,47,639,471
2026-07-07,06:16:44,person,0.9,444,53,639,470
2026-07-07,06:16:47,cat,0.66,353,252,639,473
2026-07-07,06:16:47,remote,0.84,210,129,504,475
2026-07-07,06:16:47,person,0.68,384,62,639,473
2026-07-07,06:16:47,remote,0.81,206,127,479,477
2026-07-07,06:16:47,person,0.71,385,64,639,471
2026-07-07,06:16:48,person,0.78,385,65,639,472
2026-07-07,06:16:48,person,0.75,385,65,639,471
2026-07-07,06:16:48,person,0.68,382,63,639,472
2026-07-07,06:16:50,person,0.72,159,46,638,472
2026-07-07,06:16:51,person,0.72,157,46,638,472
2026-07-07,06:16:51,person,0.79,156,47,638,472
2026-07-07,06:16:51,person,0.72,155,55,638,473
2026-07-07,06:16:51,person,0.69,150,49,639,473
2026-07-07,06:16:51,person,0.8,154,48,638,473
2026-07-07,06:16:52,person,0.8,152,51,638,473
2026-07-07,06:16:52,person,0.79,142,54,639,471
2026-07-07,06:16:52,person,0.85,153,54,639,472
2026-07-07,06:16:52,person,0.76,155,62,639,472
2026-07-07,06:16:53,person,0.77,155,47,638,470
2026-07-07,06:16:53,person,0.81,167,52,639,471
2026-07-07,06:16:54,remote,0.77,137,102,405,477
2026-07-07,06:16:54,remote,0.68,133,97,396,470
2026-07-07,06:16:55,remote,0.77,117,103,391,476
2026-07-07,06:16:55,remote,0.74,116,103,390,475
2026-07-07,06:16:55,remote,0.66,117,101,389,474
2026-07-07,06:16:56,person,0.79,154,225,639,472
2026-07-07,06:16:56,person,0.79,153,220,638,472
2026-07-07,06:16:57,person,0.68,152,226,639,472
2026-07-07,06:16:57,person,0.67,158,128,639,471
2026-07-07,06:16:57,person,0.68,157,178,638,471
2026-07-07,06:17:00,person,0.67,138,248,639,475
